Time and date,DAM Houston,NG_Price,PVGRPP_HO,WGRPP_HO,GWP,,,,,,,,,,,,,,,,,,,,,,,,,
0:00,20.23,0.140172676,0,320.8,348.3112213,276.0427692,348.3112209,,,,,,,,,,,,,,,,,,,,,,,
1:00,18.38,0.140680549,0,287.9,334.3727617,403.745161,,,,,,,,,,,,,,,,,,,,,,,,
2:00,16.45,0.140172676,0,230.4,328.7142807,,,,,,,,,,,,,,,,,Solar,Wind,Hydro,Power Storage,Other,Natural Gas,Coal and Lignite,Nuclear,
3:00,15.96,0.140172676,0,131.1,320.3584853,,,0.683705455,,,,,,,,,,,,,,0,16277.9,0,60.1,49.7,34778.1,8379.6,4890.1,64435.5
4:00,16.32,0.139664804,0,58.8,318.6044072,,,,,,,,,,,,,,,,,0,16666.7,1.5,69.6,49.3,32229.8,7453,4889.4,61359.3
5:00,17.54,0.13864906,0,41.1,331.3427639,,,31.62945445,,,,,,,,,,,,,,0.1,16594.9,4.1,28.9,50.1,30856.6,7016.5,4889.3,59440.5
6:00,18.6,0.140680549,0,15,352.8174937,,,,,,,,,,,,,,,,,0.1,16472.9,4.2,14.2,50.3,29412.6,6368.9,4893.1,57216.3
7:00,17.52,0.140680549,109.2,15.1,366.8073094,,,,,,,,,,,,,,,,,0.1,15719.8,4.2,3.6,50.2,29568.1,5812.3,4894.8,56053.1
8:00,14.98,0.143219909,777.6,10,347.5793458,,,,,,,,,,,,,,,,,0,14410.9,4.1,8.9,50.2,30334.6,6169.6,4896.9,55875.2
9:00,15.74,0.143727781,1633.4,2,300.7238066,,,,,,,,,,,,,,,,,0,12969.1,4.1,38.9,49.9,32277.2,7152.5,4898.1,57389.8
10:00,17.74,0.145251397,1714.1,0.6,276.0427692,,,,,,,,,,,,,,,,,15.6,11574.8,4.3,168.4,49.9,33608.6,7643.7,4898.6,57963.9
11:00,25.36,0.141188421,1810.7,5.3,288.1349126,,,,,,,,,,,,,,,,,4656.7,9302.3,4.2,90.8,49.7,32409.6,7241.9,4902,58657.2
12:00,30.09,0.139156932,1949.6,0.5,313.4091668,,,,,,,,,,,,,,,,,15033.5,5461.7,4.3,136.6,50.2,30536.9,6377.7,4902.4,62503.3
13:00,43.45,0.140172676,1917,0.2,322.0204165,,,,,,,,,,,,,,,,,18279.4,6751.5,4.5,61.4,49.9,30089.1,6008.6,4903.7,66148.1
14:00,51.09,0.142204165,1866.4,16,330.3636974,,,,,,,,,,,,,,,,,19346.5,5558.6,4.4,287.1,50,33012.5,6725.9,4906.9,69891.9
15:00,53.69,0.144235653,1835.5,127.8,333.9795545,,,,,,,,,,,,,,,,,20377.4,4297.2,4.3,7,49.7,36336.3,8728.1,4904.5,74704.5
16:00,57.77,0.142712037,1763.9,333.4,334.6996214,,,,,,,,,,,,,,,,,20583.4,4748.3,88,127.2,50,38732.5,9852.6,4905.9,79087.9
17:00,52.9,0.142712037,1588.5,679.5,338.2286599,,,,,,,,,,,,,,,,,20502.4,5262,92,159.6,49.9,41123.7,10854.6,4903.6,82947.8
18:00,73.24,0.143219909,1037.2,1004.7,344.6185834,,,,,,,,,,,,,,,,,19781.4,5420.5,91,213,49.9,42888.6,10852.8,4897.2,84194.4
19:00,117.36,0.143727781,266,1122,376.3468375,,,,,,,,,,,,,,,,,19460.7,5837,90,194.5,49.8,43207.6,10952.2,4894,84685.8
20:00,63.83,0.144235653,1.4,1081,403.745161,,,,,,,,,,,,,,,,,18340.8,6060.4,111.4,211.4,49.7,44713.1,10797.5,4889.8,85174.1
21:00,28,0.144235653,0,920.8,403.2577727,,,,,,,,,,,,,,,,,16505.8,6458,136.8,65,50.6,45315.1,10748.3,4889,84168.6
22:00,22.28,0.143727781,0,893.9,385.3358722,,,,,,,,,,,,,,,,,9174.5,6897.3,179.6,1522.3,65.5,48317.6,11696.3,4884.2,82737.3
23:00,18.47,0.143727781,0,761.9,360.0368981,,,,,,,,,,,,,,,,,621.5,7799.1,217.6,3674.5,91.5,49344,11820.2,4883.5,78451.9
0:00,20.23,0.143727781,0,673.2,332.07265,,,,,,,,,,,,,,,,,0.1,10891,157.2,1087.8,105,47888.6,11644.5,4885.6,76659.8
,,,,,8491.924449,,,,,,,,,,,,,,,,,0.1,14111.7,52,488.2,88.8,44190.4,11070,4886.8,74888
,,,,,,,,,,,,,,,,,,,,,,0,16792.6,0,142,63.8,38380.8,9723.4,4890.1,69992.7
,,,,,353.8301854,,,,,,,,,,,,,,,,,0,18822,0,3.2,50.3,34349.4,8080.6,4891.3,66196.8
